Make,Colour,Odometer (KM),Doors,Price
Honda,Blue,15017,3,"$8,707.67"
Honda,CanyonRidge,235800,3,"$5,879.08"
Toyota,CanyonRidge,226705,5,"$5,397.40"
Nissan,White,68571,3,"$3,792.09"
Ford,Green,198750,4,"$12,398.52"
Nissan,Green,212582,5,"$8,962.96"
BMW,Blue,137036,3,"$20,011.78"
Toyota,Blue,80676,5,"$7,319.99"
Honda,Red,130231,4,"$5,017.98"
Nissan,Green,130486,4,"$3,177.11"
Toyota,Blue,212905,3,"$6,496.88"
BMW,Red,181965,4,"$26,005.32"
BMW,White,97861,3,"$26,944.06"
Toyota,Black,27356,5,"$5,838.78"
Nissan,CanyonRidge,147705,5,"$7,150.66"
Nissan,CanyonRidge,211772,4,"$7,121.38"
Ford,White,88839,4,"$16,155.20"
Ford,Green,53819,3,"$20,797.72"
Toyota,Red,129103,5,"$6,082.74"
Nissan,Black,38639,5,"$3,213.53"
Honda,Blue,180420,5,"$7,618.80"
Nissan,CanyonRidge,220743,4,"$9,693.64"
Ford,Black,35495,5,"$9,272.25"
Honda,White,33488,4,"$7,020.96"
Honda,Green,97113,4,"$6,841.91"
Honda,Red,224428,3,"$6,000.50"
Toyota,Green,169414,4,"$4,118.55"
Ford,Black,48656,5,"$18,504.00"
Toyota,White,235630,3,"$4,332.17"
Honda,Black,104212,5,"$8,207.88"
Honda,Red,147811,4,"$8,564.53"
Toyota,Black,30213,5,"$7,558.69"
Ford,White,68088,3,"$6,557.86"
Nissan,CanyonRidge,124921,3,"$7,595.38"
BMW,White,127923,3,"$22,204.59"
Honda,Red,226173,4,"$5,114.57"
Honda,CanyonRidge,162178,3,"$6,850.89"
Honda,Blue,167237,4,"$5,372.77"
Toyota,Green,43546,4,"$4,030.29"
Ford,Blue,38792,5,"$10,823.21"
Honda,Green,223583,5,"$5,279.23"
Toyota,Red,126671,4,"$5,291.95"
Ford,Green,82194,4,"$7,176.80"
Nissan,Red,27874,5,"$5,044.97"
BMW,White,237993,4,"$18,662.70"
Honda,White,132753,4,"$8,632.76"
Nissan,Red,165331,5,"$5,368.04"
Toyota,Green,238985,5,"$5,591.10"
Nissan,Blue,22755,3,"$4,417.33"
BMW,Blue,61538,4,"$29,178.92"
Honda,Black,65135,3,"$5,368.03"
Nissan,Green,37687,5,"$4,481.62"
Nissan,Green,231354,4,"$4,666.71"
Honda,CanyonRidge,113680,3,"$8,500.83"
BMW,Green,87255,3,"$18,443.75"
Toyota,Green,145044,4,"$4,555.30"
Honda,Green,170793,4,"$6,330.53"
Toyota,Blue,126660,5,"$4,544.24"
Ford,Black,102650,4,"$20,939.18"
BMW,Blue,51126,4,"$20,690.81"
Ford,CanyonRidge,45377,4,"$21,833.27"
Toyota,White,54682,5,"$7,192.32"
Toyota,CanyonRidge,109643,3,"$7,070.56"
Toyota,Red,117800,3,"$5,496.87"
Honda,Green,143069,5,"$8,923.89"
Ford,Blue,142568,3,"$11,819.50"
Nissan,Green,187259,5,"$8,906.63"
Ford,White,225945,3,"$8,436.26"
Toyota,CanyonRidge,207724,5,"$6,926.82"
Honda,CanyonRidge,130701,3,"$5,177.45"
Ford,White,76656,3,"$15,598.99"
Nissan,Black,23414,4,"$6,749.87"
Toyota,Blue,158064,3,"$7,787.78"
Toyota,Green,192273,4,"$6,175.14"
Nissan,Black,191096,5,"$5,129.04"
Honda,Black,15084,5,"$6,077.64"
BMW,Black,226386,4,"$25,397.17"
Toyota,Green,174243,4,"$6,920.36"
Honda,Green,244118,5,"$8,898.40"
BMW,White,154311,3,"$19,830.12"
Honda,Black,225342,3,"$7,366.86"
Nissan,Red,135591,3,"$4,266.32"
Toyota,CanyonRidge,11364,3,"$6,896.83"
Toyota,CanyonRidge,207889,5,"$6,989.81"
Honda,Blue,233188,3,"$8,033.89"
Nissan,CanyonRidge,240403,5,"$4,331.35"
Honda,Blue,69650,3,"$5,434.62"
Ford,Black,35790,5,"$19,601.27"
BMW,CanyonRidge,125415,4,"$21,979.91"
Toyota,Green,77742,4,"$6,751.51"
Toyota,White,40219,3,"$4,931.32"
Toyota,Black,177524,4,"$5,605.96"
Nissan,Red,177814,5,"$7,232.85"
Toyota,White,88500,4,"$6,794.96"
Toyota,Green,137689,3,"$6,333.06"
Nissan,Blue,27434,5,"$9,552.04"
BMW,Blue,148179,4,"$27,962.18"
BMW,Green,136548,4,"$22,976.96"
Toyota,Green,154718,5,"$5,044.12"
Honda,White,172389,3,"$7,178.68"
Honda,CanyonRidge,115080,4,"$8,891.56"
Honda,CanyonRidge,196844,3,"$6,470.88"
Nissan,Green,193304,5,"$8,981.12"
Toyota,White,248549,3,"$5,325.79"
BMW,Green,245237,3,"$25,121.82"
Ford,Red,70994,3,"$5,517.76"
Ford,White,84921,4,"$5,778.42"
Ford,CanyonRidge,82478,4,"$12,564.38"
Nissan,Green,145487,3,"$7,191.18"
Honda,Blue,74842,4,"$7,873.58"
BMW,White,68525,3,"$21,304.26"
BMW,CanyonRidge,54787,5,"$16,249.02"
Toyota,Blue,74527,5,"$7,149.58"
Toyota,Blue,244162,3,"$7,611.09"
BMW,White,23867,3,"$16,865.72"
BMW,Black,94466,4,"$24,553.06"
BMW,Red,175989,5,"$17,991.77"
Ford,Blue,63497,5,"$16,685.79"
Nissan,Green,40907,5,"$4,813.95"
Honda,Black,27902,4,"$7,780.54"
Ford,Green,57465,5,"$18,420.49"
Toyota,Blue,37912,4,"$6,630.80"
Ford,Black,118171,4,"$13,255.08"
Honda,CanyonRidge,184517,5,"$6,696.47"
Ford,White,145272,4,"$5,507.30"
Ford,CanyonRidge,230998,5,"$8,988.44"
Nissan,Black,41183,4,"$7,197.83"
Toyota,Black,217754,4,"$5,076.63"
Nissan,Green,221079,4,"$7,042.09"
Nissan,Black,88575,3,"$5,683.06"
Ford,Blue,112016,3,"$4,936.91"
Toyota,CanyonRidge,66926,5,"$4,251.57"
Toyota,Red,187592,5,"$4,261.00"
BMW,White,137500,4,"$15,177.58"
Ford,Blue,66135,4,"$19,597.29"
BMW,Blue,14109,5,"$29,707.26"
Ford,White,216609,5,"$11,070.89"
Nissan,Black,205794,4,"$3,526.90"
Honda,Green,48783,5,"$8,025.37"
Ford,Red,210430,4,"$11,879.34"
Nissan,Red,116232,5,"$9,840.32"
Honda,Blue,32240,3,"$8,963.90"
Ford,Red,71296,4,"$9,222.25"
Ford,Red,86321,3,"$21,485.92"
Toyota,Black,65857,4,"$7,922.73"
BMW,Blue,168025,5,"$29,773.93"
Ford,Blue,138118,3,"$6,357.74"
Ford,White,209463,5,"$21,154.83"
Ford,Green,112386,5,"$17,422.55"
Ford,Black,142176,4,"$14,046.30"
BMW,Red,54112,5,"$26,796.87"
Nissan,CanyonRidge,49055,4,"$8,028.39"
Toyota,White,122335,3,"$7,322.27"
Ford,White,128644,5,"$23,761.37"
Nissan,White,223826,5,"$4,105.57"
Honda,CanyonRidge,142074,3,"$8,024.95"
Nissan,Black,93137,5,"$6,838.10"
BMW,CanyonRidge,216688,3,"$28,824.46"
Nissan,White,104281,4,"$8,920.38"
BMW,Blue,214834,4,"$28,794.89"
Ford,Blue,249423,3,"$8,378.87"
BMW,Green,37613,4,"$23,986.11"
Toyota,CanyonRidge,237614,4,"$6,050.42"
Nissan,Green,169138,3,"$3,479.23"
Honda,CanyonRidge,220575,3,"$5,400.34"
Honda,CanyonRidge,100113,3,"$5,849.10"
Toyota,White,71077,5,"$6,670.72"
Nissan,CanyonRidge,147817,3,"$4,429.45"
Toyota,CanyonRidge,78566,4,"$4,876.11"
BMW,CanyonRidge,105148,5,"$15,730.56"
Toyota,Green,187898,3,"$7,936.79"
Ford,Blue,148718,3,"$14,197.55"
Nissan,White,247635,4,"$7,366.10"
Toyota,Red,183865,5,"$4,304.38"
Toyota,Black,87644,4,"$5,810.35"
Honda,Black,12686,3,"$7,387.31"
Honda,White,184413,3,"$5,482.26"
Honda,Red,150587,3,"$5,091.75"
Honda,Red,98658,5,"$7,811.00"
Ford,White,100754,3,"$14,247.62"
Toyota,Red,114129,4,"$6,549.15"
Toyota,Black,223996,5,"$6,185.04"
Ford,Red,35084,4,"$15,731.18"
Nissan,Blue,241477,3,"$6,398.91"
Toyota,White,21136,4,"$7,323.42"
Toyota,White,188829,3,"$5,147.88"
Toyota,Black,199308,5,"$5,679.73"
Nissan,Blue,196600,5,"$8,887.51"
Nissan,Red,62635,5,"$6,729.68"
BMW,White,236190,5,"$19,964.90"
Ford,Green,51880,3,"$6,302.79"
Toyota,Green,201630,4,"$4,709.97"
BMW,Green,143465,5,"$22,716.64"
Honda,Red,170031,3,"$8,185.96"
BMW,Green,164670,4,"$19,705.16"
Honda,Green,29348,5,"$7,694.53"
Honda,Black,230437,4,"$7,079.50"
BMW,Green,103237,4,"$25,320.43"
BMW,Blue,94879,4,"$17,787.57"
Ford,Green,134049,3,"$23,305.78"
Nissan,White,218763,4,"$3,566.74"
BMW,Blue,228180,3,"$19,907.26"
BMW,CanyonRidge,143153,5,"$26,198.01"
Ford,Red,41590,3,"$24,307.54"
BMW,Red,161622,5,"$29,967.82"
Honda,CanyonRidge,118091,5,"$5,531.90"
Honda,CanyonRidge,61191,5,"$8,267.60"
Nissan,White,45517,3,"$5,680.93"
BMW,Black,244045,3,"$25,173.11"
Ford,Black,73202,4,"$13,627.39"
BMW,Green,14802,5,"$20,022.98"
Toyota,Green,226863,4,"$6,125.30"
Honda,Red,10651,3,"$7,174.95"
BMW,CanyonRidge,91843,4,"$17,322.29"
Toyota,Blue,79572,4,"$7,316.05"
Ford,CanyonRidge,244108,5,"$14,597.31"
Nissan,Green,44035,3,"$4,167.87"
Honda,Green,100356,5,"$5,154.93"
Nissan,Red,68488,3,"$7,633.72"
Ford,CanyonRidge,92249,5,"$6,494.75"
Ford,Green,169097,4,"$16,980.35"
Ford,Blue,244672,3,"$23,958.95"
Toyota,CanyonRidge,99417,3,"$7,705.07"
Nissan,Blue,104591,4,"$6,550.47"
BMW,Black,240501,5,"$23,970.07"
Nissan,White,177773,5,"$8,788.44"
Ford,Blue,214374,5,"$18,515.18"
Nissan,Black,51546,5,"$6,466.60"
BMW,Red,83373,4,"$17,493.80"
BMW,Red,117149,4,"$22,303.07"
Toyota,Black,23216,3,"$7,808.87"
Nissan,Red,94589,4,"$9,367.32"
Honda,Blue,45501,5,"$7,733.53"
BMW,Blue,249178,5,"$22,536.99"
BMW,Blue,56398,5,"$24,379.63"
Honda,Blue,249390,3,"$5,458.51"
Ford,CanyonRidge,90119,5,"$5,064.61"
Nissan,Green,130458,4,"$7,418.57"
Honda,White,226485,4,"$5,560.27"
Toyota,CanyonRidge,155780,5,"$4,187.62"
Nissan,Black,56502,4,"$4,691.97"
Toyota,White,147660,5,"$7,793.29"
Toyota,CanyonRidge,38058,3,"$5,880.75"
Nissan,Black,42909,5,"$6,166.84"
Ford,Black,10445,4,"$19,365.24"
Honda,Blue,130446,3,"$7,681.77"
Honda,Blue,142261,5,"$6,247.62"
Honda,White,157110,4,"$7,070.44"
Ford,Red,239145,3,"$16,812.54"
Ford,Black,61453,4,"$21,465.60"
Toyota,Red,28094,4,"$7,917.49"
Honda,Black,175026,3,"$5,663.65"
Ford,White,190558,3,"$5,895.47"
Ford,Black,141155,3,"$9,589.63"
Honda,CanyonRidge,167838,5,"$5,453.50"
Toyota,Green,231924,3,"$6,933.98"
Nissan,Red,93515,3,"$4,087.50"
Toyota,Black,237071,3,"$5,808.69"
Toyota,CanyonRidge,47841,5,"$5,890.33"
BMW,Red,58948,5,"$25,143.43"
Honda,Black,66789,3,"$5,816.93"
BMW,Blue,33080,5,"$25,527.94"
Toyota,Red,138155,3,"$5,751.94"
BMW,CanyonRidge,131076,3,"$19,696.33"
Honda,Black,62154,5,"$7,662.37"
Ford,CanyonRidge,57116,5,"$22,383.43"
BMW,CanyonRidge,134863,5,"$26,073.97"
Nissan,Blue,166683,4,"$4,994.65"
Toyota,CanyonRidge,54812,4,"$6,035.93"
Honda,White,65654,4,"$7,409.81"
Ford,CanyonRidge,70702,4,"$11,134.50"
Toyota,Black,119082,3,"$4,045.39"
Nissan,CanyonRidge,165889,4,"$5,306.32"
Nissan,Red,20868,5,"$8,384.56"
Toyota,CanyonRidge,142980,3,"$6,497.49"
Honda,CanyonRidge,94608,3,"$6,765.59"
Honda,CanyonRidge,41285,4,"$8,772.47"
Toyota,Blue,162022,4,"$4,578.26"
BMW,Red,12176,3,"$23,044.85"
Toyota,Green,61568,4,"$6,070.15"
Nissan,White,126577,4,"$6,722.93"
Nissan,CanyonRidge,241199,5,"$4,644.24"
Honda,Black,14996,4,"$8,288.25"
Honda,Black,117543,4,"$6,970.48"
Ford,Blue,242054,5,"$19,224.75"
Nissan,Black,198958,5,"$8,838.34"
Toyota,Black,198088,5,"$5,801.14"
Ford,Black,27606,5,"$15,382.77"
Nissan,Red,225502,5,"$8,029.02"
Ford,Black,153340,4,"$13,844.82"
Nissan,Green,107771,5,"$6,754.66"
Nissan,CanyonRidge,195752,5,"$6,521.31"
Nissan,Green,214801,4,"$6,098.88"
Ford,Green,216191,5,"$11,709.28"
Ford,Blue,101666,4,"$22,777.19"
Nissan,Green,31333,3,"$6,319.81"
Honda,White,189195,5,"$5,235.76"
BMW,Blue,159727,4,"$19,080.39"
Ford,Red,165712,4,"$14,435.11"
Honda,Black,20151,4,"$6,568.66"
Ford,Red,123570,4,"$11,544.24"
Honda,White,111983,5,"$5,437.81"
Toyota,Blue,35065,3,"$5,716.00"
Nissan,Green,70938,4,"$8,516.52"
Toyota,Black,183231,3,"$7,861.20"
Ford,Black,230913,4,"$18,003.93"
Nissan,Red,90339,4,"$9,609.51"
Honda,Black,95190,4,"$7,762.87"
Toyota,Red,183174,4,"$6,151.14"
BMW,CanyonRidge,70927,4,"$24,850.13"
Ford,Blue,215887,3,"$16,583.10"
Ford,Green,210577,4,"$15,072.79"
BMW,Black,12097,5,"$16,310.59"
BMW,Black,201747,5,"$20,150.60"
Ford,Black,196969,4,"$11,892.06"
Toyota,CanyonRidge,18324,5,"$5,401.86"
BMW,Green,145106,3,"$17,554.72"
Honda,White,62446,3,"$7,071.48"
Nissan,Black,230429,3,"$5,227.25"
BMW,Green,32602,3,"$28,270.18"
Toyota,Black,246137,3,"$4,559.82"
Honda,White,99122,3,"$6,013.62"
Honda,Green,43438,5,"$8,349.06"
Ford,Red,182179,4,"$10,569.32"
Nissan,Blue,65397,5,"$8,687.70"
Nissan,CanyonRidge,230437,4,"$5,805.10"
Nissan,CanyonRidge,60697,5,"$3,539.24"
Honda,Blue,48995,5,"$7,430.41"
Honda,Red,43423,5,"$8,834.06"
BMW,CanyonRidge,79642,3,"$15,173.67"
Honda,Blue,197767,4,"$7,460.82"
Ford,Black,132653,4,"$11,771.27"
BMW,Black,35234,4,"$17,392.68"
Nissan,Red,50285,3,"$7,781.66"
Nissan,Red,16016,5,"$3,322.45"
Ford,Red,26064,4,"$10,592.62"
BMW,Green,185160,3,"$29,454.85"
Nissan,Green,49098,4,"$9,361.30"
Nissan,Black,24001,3,"$4,052.29"
Ford,Black,125714,5,"$11,094.84"
Toyota,Red,177985,3,"$5,836.63"
Nissan,White,206987,4,"$5,303.06"
BMW,Red,237045,4,"$23,434.41"
Toyota,CanyonRidge,203876,4,"$5,191.12"
Nissan,Black,147605,3,"$5,017.15"
Ford,White,244979,4,"$9,369.42"
Toyota,White,54385,5,"$4,944.44"
Ford,Red,26246,3,"$8,775.79"
BMW,CanyonRidge,31841,4,"$20,571.40"
Honda,White,24249,5,"$7,020.22"
Toyota,CanyonRidge,33218,3,"$5,524.59"
Toyota,CanyonRidge,189693,3,"$5,315.29"
Honda,White,78104,4,"$8,968.24"
Ford,White,124076,4,"$9,562.89"
Toyota,White,65063,5,"$7,524.88"
Ford,Blue,20505,4,"$12,362.26"
Honda,White,99117,3,"$7,076.27"
Nissan,Black,218130,4,"$4,750.15"
Honda,Blue,10539,4,"$7,536.48"
Ford,Blue,72260,5,"$7,641.61"
Ford,Red,137719,3,"$12,241.54"
Toyota,CanyonRidge,165410,5,"$4,261.02"
Toyota,Blue,152431,3,"$7,101.76"
Honda,Blue,174640,4,"$8,316.91"
Nissan,White,194202,3,"$5,766.13"
Ford,Green,39240,4,"$8,365.21"
Ford,CanyonRidge,220619,4,"$8,829.20"
Nissan,White,108864,5,"$4,137.86"
BMW,White,214596,3,"$17,341.23"
Toyota,CanyonRidge,140660,5,"$4,260.90"
Nissan,Red,53241,5,"$3,039.70"
Toyota,Blue,221435,5,"$6,070.85"
Honda,Black,43568,3,"$7,453.46"
Nissan,White,179516,4,"$7,544.45"
Toyota,Black,213945,3,"$6,301.98"
Toyota,Red,165132,3,"$4,721.07"
Nissan,Green,91135,5,"$4,186.50"
BMW,Black,67678,4,"$18,556.01"
Nissan,Black,34331,3,"$7,946.42"
Ford,CanyonRidge,12488,3,"$15,663.20"
Ford,White,249503,5,"$23,735.95"
BMW,CanyonRidge,133506,5,"$24,357.02"
Honda,Black,215327,3,"$6,353.28"
Ford,Green,79691,3,"$9,560.63"
BMW,White,169370,3,"$18,765.44"
Ford,Blue,116085,4,"$9,137.06"
Honda,White,238153,4,"$8,916.43"
Nissan,Green,245515,5,"$7,229.26"
Toyota,Red,118466,5,"$7,427.49"
Ford,White,198046,5,"$8,300.38"
Ford,Green,79128,4,"$10,834.81"
Nissan,Blue,152075,4,"$3,510.45"
Toyota,Blue,221959,5,"$4,401.55"
Toyota,CanyonRidge,76155,4,"$4,180.82"
Nissan,Blue,160269,4,"$7,341.02"
Honda,Blue,161231,5,"$6,958.26"
BMW,Red,163922,5,"$16,604.72"
BMW,Blue,68441,4,"$29,391.58"
Ford,Black,216641,3,"$24,322.39"
BMW,Blue,227094,5,"$21,584.16"
Toyota,Black,245768,4,"$4,034.51"
Ford,Green,219297,3,"$11,509.17"
BMW,Black,133754,4,"$22,696.31"
Honda,CanyonRidge,171711,4,"$8,594.20"
Ford,Blue,219251,5,"$13,241.61"
Toyota,Green,97912,4,"$4,603.18"
Honda,White,51254,5,"$8,597.88"
Honda,Blue,174769,3,"$5,513.92"
Honda,Red,124518,4,"$7,449.46"
Honda,CanyonRidge,152479,3,"$8,002.20"
Ford,Green,120180,5,"$22,531.12"
Honda,White,79317,5,"$6,658.47"
BMW,Red,153234,3,"$22,008.73"
Nissan,CanyonRidge,188305,4,"$3,835.80"
Honda,Blue,130951,4,"$8,122.92"
Nissan,White,119608,4,"$4,520.54"
Nissan,Red,201970,3,"$4,886.79"
BMW,Black,215981,4,"$15,961.45"
BMW,CanyonRidge,23765,5,"$18,349.08"
BMW,CanyonRidge,198799,5,"$21,396.20"
Toyota,Black,161357,5,"$4,023.91"
BMW,Blue,36874,3,"$20,635.29"
Nissan,Black,123013,5,"$3,434.44"
Honda,CanyonRidge,173907,3,"$8,056.72"
Ford,White,164987,3,"$21,359.17"
Toyota,Red,48700,3,"$5,613.18"
Honda,Red,158986,5,"$7,697.12"
Ford,Blue,200228,4,"$9,221.82"
BMW,Red,17948,4,"$23,165.79"
Nissan,Blue,103398,5,"$9,891.62"
Nissan,Blue,45767,4,"$4,779.03"
Ford,Black,32237,3,"$14,248.87"
Honda,Green,149540,3,"$8,675.83"
BMW,Red,128014,5,"$22,604.99"
Toyota,Green,127923,4,"$6,339.52"
Toyota,CanyonRidge,103159,4,"$6,760.47"
Honda,Red,159029,3,"$5,813.64"
Honda,CanyonRidge,117073,4,"$8,000.39"
Ford,White,121310,5,"$16,163.52"
Honda,Blue,214037,3,"$6,634.88"
Nissan,CanyonRidge,205153,3,"$7,536.35"
Toyota,CanyonRidge,215388,5,"$6,376.46"
Toyota,CanyonRidge,116865,4,"$4,413.53"
BMW,Red,58899,4,"$29,650.22"
BMW,Black,54180,5,"$21,230.82"
BMW,White,192794,5,"$26,674.36"
Honda,CanyonRidge,17691,5,"$5,499.93"
Honda,Blue,235434,4,"$7,818.56"
Ford,White,128777,3,"$19,089.58"
Nissan,Green,111186,4,"$6,193.87"
BMW,Green,210829,3,"$23,061.56"
Toyota,Red,88960,3,"$6,799.40"
BMW,Blue,64111,3,"$23,410.68"
Ford,White,177705,5,"$10,212.97"
Honda,Green,234567,4,"$8,958.94"
Honda,Green,181534,3,"$8,469.07"
Toyota,Black,131756,5,"$6,454.44"
Nissan,Red,161878,5,"$3,088.00"
Honda,White,179912,4,"$7,870.54"
BMW,White,153159,4,"$16,111.80"
Ford,Green,209625,4,"$23,353.01"
Nissan,White,163276,5,"$3,379.37"
Nissan,CanyonRidge,247002,4,"$5,104.18"
Ford,Red,112235,3,"$20,812.02"
Nissan,Black,60868,3,"$9,282.80"
Toyota,Blue,87016,3,"$4,650.22"
BMW,Blue,175851,3,"$18,719.05"
Toyota,Green,38962,3,"$5,126.65"
Nissan,Blue,218478,3,"$6,208.12"
Toyota,Black,72996,4,"$4,487.47"
Nissan,White,116579,3,"$9,822.87"
Honda,White,30582,3,"$6,288.39"
Nissan,White,124067,3,"$6,399.97"
Honda,Blue,53064,5,"$5,838.48"
Nissan,CanyonRidge,54295,5,"$3,002.19"
Toyota,Green,232079,4,"$4,933.76"
Honda,Blue,51644,3,"$7,262.89"
BMW,Green,162336,4,"$16,257.08"
BMW,Red,214150,5,"$16,079.23"
Nissan,Green,56876,3,"$9,754.44"
Nissan,Green,40790,3,"$3,993.56"
Nissan,Blue,110965,4,"$4,590.91"
Toyota,Red,181852,4,"$7,192.48"
Toyota,Blue,104152,3,"$5,431.84"
Nissan,Blue,74223,4,"$6,910.57"
Ford,Red,108019,3,"$19,036.74"
Toyota,Black,81832,4,"$5,750.30"
Nissan,Green,217678,3,"$5,331.47"
Nissan,White,16208,5,"$8,363.11"
Honda,Blue,123546,5,"$7,921.76"
Honda,Black,53939,4,"$5,029.16"
Nissan,Red,205099,4,"$4,284.68"
Ford,White,87414,3,"$19,229.49"
Honda,CanyonRidge,151870,5,"$6,139.84"
Honda,Red,23117,3,"$7,371.31"
BMW,White,202508,3,"$16,175.83"
Toyota,CanyonRidge,98879,5,"$7,188.27"
Toyota,Black,72222,5,"$7,829.80"
BMW,Blue,155925,3,"$26,390.17"
Nissan,Blue,196657,3,"$3,032.28"
Nissan,Green,65043,4,"$7,150.95"
Nissan,White,212052,3,"$6,677.45"
Toyota,Red,238196,4,"$5,351.04"
Ford,Blue,46319,4,"$7,796.79"
Toyota,White,166533,4,"$4,816.88"
Honda,Black,72476,4,"$7,051.15"
Ford,Blue,11534,3,"$5,160.89"
Ford,CanyonRidge,48805,5,"$17,127.56"
Honda,Black,133916,5,"$6,252.50"
Nissan,Blue,182303,3,"$8,481.40"
Toyota,Blue,83510,3,"$4,497.04"
Honda,White,172382,5,"$5,796.17"
BMW,Blue,233424,3,"$18,009.46"
Honda,Black,58697,5,"$6,738.74"
Ford,Red,66527,4,"$6,430.47"
Honda,Blue,107912,4,"$6,105.49"
Toyota,CanyonRidge,247572,3,"$6,406.33"
Ford,Green,126645,4,"$18,327.57"
Ford,Black,19358,5,"$9,094.96"
Ford,Blue,59237,4,"$24,318.68"
Toyota,Red,236882,4,"$7,434.07"
Toyota,Green,177477,5,"$7,040.96"
Toyota,Red,12795,4,"$6,789.10"
Honda,Red,163555,5,"$6,092.48"
Toyota,Red,44033,5,"$7,081.42"
Nissan,Red,41781,3,"$5,514.10"
Nissan,CanyonRidge,89418,5,"$6,615.61"
Ford,Blue,36291,4,"$22,443.37"
Ford,Green,164320,3,"$23,460.45"
Honda,CanyonRidge,163418,4,"$8,046.24"
Nissan,CanyonRidge,113735,5,"$7,718.77"
BMW,Black,39474,3,"$26,786.71"
Nissan,Blue,139717,5,"$5,769.06"
BMW,Red,174808,4,"$23,145.92"
Ford,Black,188783,4,"$18,097.89"
Nissan,White,248147,3,"$4,428.55"
Honda,Blue,56186,5,"$7,048.81"
Honda,Black,216608,3,"$5,902.85"
Nissan,CanyonRidge,124122,5,"$5,287.23"
Toyota,White,87920,5,"$4,813.13"
Ford,Blue,106554,5,"$23,434.14"
Nissan,Red,174100,5,"$9,374.15"
BMW,Blue,36044,4,"$19,057.46"
Ford,Blue,122692,4,"$6,148.12"
Toyota,CanyonRidge,165081,4,"$7,419.35"
Nissan,CanyonRidge,15072,3,"$8,143.83"
Ford,Blue,159127,3,"$17,104.13"
Toyota,CanyonRidge,184263,3,"$4,227.94"
Honda,Blue,204639,3,"$5,223.50"
Nissan,Red,180738,4,"$3,945.76"
BMW,White,11170,3,"$17,575.94"
Honda,White,67194,3,"$6,413.94"
BMW,White,168280,3,"$24,665.46"
BMW,White,147577,5,"$19,415.58"
Ford,Red,122414,4,"$15,668.10"
Nissan,Red,25337,4,"$9,739.64"
Toyota,Black,31846,5,"$4,357.47"
Toyota,Green,94242,4,"$6,751.70"
BMW,Green,36063,3,"$17,070.85"
Toyota,White,18318,5,"$7,349.88"
Ford,CanyonRidge,63414,3,"$20,712.95"
Ford,Black,140763,4,"$12,706.92"
BMW,Black,69255,4,"$24,183.10"
Ford,White,98663,3,"$20,538.58"
Honda,Blue,58501,4,"$8,257.01"
Nissan,Red,127651,5,"$5,361.17"
Toyota,Red,11709,5,"$7,833.29"
Nissan,CanyonRidge,30198,5,"$3,026.22"
Nissan,White,44199,5,"$3,762.40"
Nissan,White,179239,4,"$6,617.82"
Ford,Black,136293,5,"$16,611.84"
Honda,Red,159169,4,"$5,642.97"
Honda,White,203382,4,"$8,157.86"
Nissan,CanyonRidge,28863,3,"$9,330.40"
Toyota,CanyonRidge,182825,3,"$4,025.46"
Toyota,Red,136517,5,"$6,064.15"
Nissan,Black,75733,3,"$5,787.27"
Toyota,Black,53082,5,"$7,003.96"
Toyota,Black,232962,4,"$6,619.63"
BMW,CanyonRidge,93889,5,"$23,682.11"
BMW,White,58477,3,"$19,804.11"
BMW,Black,173314,3,"$27,019.93"
Honda,CanyonRidge,121705,5,"$7,043.71"
Nissan,Blue,151940,3,"$9,724.10"
Ford,Green,231306,3,"$17,622.88"
Toyota,Red,90975,5,"$5,373.40"
Honda,Blue,40825,5,"$8,743.65"
Ford,White,37536,4,"$21,298.10"
Nissan,White,231334,5,"$6,674.22"
Honda,Red,187732,3,"$6,104.76"
Ford,Green,20757,5,"$22,166.86"
Nissan,Red,96387,4,"$5,568.47"
Nissan,Green,55271,5,"$6,216.66"
Toyota,Blue,24859,5,"$7,806.53"
Toyota,CanyonRidge,248361,4,"$6,915.09"
Nissan,White,225813,4,"$7,882.26"
Honda,CanyonRidge,10029,5,"$5,245.76"
Nissan,White,169439,5,"$4,351.93"
Nissan,White,10062,5,"$7,664.30"
BMW,Green,59295,5,"$21,098.00"
Honda,Blue,206733,3,"$5,813.75"
Ford,Black,226048,4,"$4,731.05"
Toyota,Red,60302,3,"$4,227.22"
Honda,White,195194,3,"$8,328.45"
Nissan,CanyonRidge,156763,5,"$7,496.25"
Honda,CanyonRidge,139243,3,"$7,601.40"
Ford,Black,236507,4,"$5,835.72"
Toyota,CanyonRidge,199201,5,"$5,605.51"
Toyota,CanyonRidge,158290,5,"$7,691.74"
BMW,White,152258,5,"$22,143.01"
Honda,Black,169054,3,"$8,576.66"
BMW,Blue,118582,4,"$23,525.10"
Honda,CanyonRidge,145815,5,"$5,081.33"
Honda,Black,166878,3,"$8,714.60"
Honda,Red,156475,5,"$7,827.29"
Nissan,CanyonRidge,176647,3,"$7,585.34"
Toyota,CanyonRidge,135656,4,"$7,268.64"
Ford,Black,101645,5,"$23,598.23"
Toyota,White,17134,5,"$4,801.07"
Honda,White,89885,5,"$7,773.42"
Honda,CanyonRidge,211909,3,"$8,336.02"
Nissan,Blue,118714,5,"$4,621.27"
Toyota,Black,206077,5,"$4,218.22"
Nissan,White,231462,4,"$9,797.32"
Ford,White,50177,4,"$17,790.79"
Ford,Black,31618,5,"$19,873.12"
